"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2023","127.94","125.98","128.48","125.50","1.39M","1.22%"
"04/18/2023","126.40","126.69","126.82","125.85","693.79K","0.27%"
"04/17/2023","126.06","125.59","126.34","125.08","1.29M","0.13%"
"04/14/2023","125.90","125.66","127.00","125.21","1.19M","-0.42%"
"04/13/2023","126.43","123.75","127.00","123.69","1.38M","1.94%"
"04/12/2023","124.02","124.11","124.64","123.31","897.97K","-0.07%"
"04/11/2023","124.11","124.24","124.75","123.71","1.35M","-0.10%"
"04/10/2023","124.23","121.19","124.59","121.19","1.45M","1.69%"
"04/06/2023","122.17","122.27","123.11","121.47","722.39K","-0.52%"
"04/05/2023","122.81","121.81","123.07","121.32","1.13M","0.75%"
"04/04/2023","121.90","124.90","124.90","121.64","1.10M","-2.32%"
"04/03/2023","124.80","123.80","124.89","123.65","1.10M","-0.04%"
"03/31/2023","124.85","124.19","124.86","123.54","992.26K","0.69%"
"03/30/2023","124.00","123.78","124.26","123.32","751.45K","0.83%"
"03/29/2023","122.98","123.01","123.98","122.55","1.20M","0.30%"
"03/28/2023","122.61","122.22","123.16","121.83","845.42K","0.22%"
"03/27/2023","122.34","122.12","123.60","121.53","884.64K","0.05%"
"03/24/2023","122.28","119.38","122.29","119.34","1.70M","2.70%"
"03/23/2023","119.06","119.25","121.26","118.38","2.55M","0.67%"
"03/22/2023","118.27","118.49","120.94","118.27","1.19M","-0.25%"
"03/21/2023","118.57","118.27","119.59","117.96","1.37M","0.67%"
"03/20/2023","117.78","118.04","119.32","117.09","1.40M","-0.41%"
"03/17/2023","118.27","120.50","120.83","117.68","2.14M","-1.89%"
"03/16/2023","120.55","118.90","120.59","118.18","923.77K","0.96%"
"03/15/2023","119.40","116.76","119.52","116.68","1.13M","0.70%"
"03/14/2023","118.57","117.65","118.86","116.91","1.02M","2.22%"
"03/13/2023","116.00","116.77","118.28","115.87","954.91K","-1.39%"
"03/10/2023","117.64","117.73","118.98","117.15","938.89K","-0.58%"
"03/09/2023","118.33","120.02","120.90","117.99","905.23K","-1.56%"
"03/08/2023","120.20","120.32","120.75","119.51","1.68M","0.12%"
"03/07/2023","120.05","119.39","120.58","119.17","1.95M","0.55%"
"03/06/2023","119.39","118.35","120.26","118.35","1.14M","0.43%"
"03/03/2023","118.88","115.42","119.21","113.61","2.97M","6.86%"
"03/02/2023","111.25","109.34","112.29","109.00","1.55M","1.05%"
"03/01/2023","110.09","110.62","111.39","109.80","1.24M","-0.04%"
"02/28/2023","110.13","111.75","111.75","109.44","2.88M","-0.75%"
"02/27/2023","110.96","113.54","114.17","110.47","2.29M","-1.54%"
"02/24/2023","112.69","112.63","113.36","112.33","1.17M","-0.90%"
"02/23/2023","113.71","113.56","114.46","113.00","934.84K","0.83%"
"02/22/2023","112.77","114.76","115.25","112.24","1.17M","-1.50%"
"02/21/2023","114.49","114.96","115.99","114.40","839.14K","-1.43%"
"02/17/2023","116.15","115.96","116.62","115.62","487.36K","-0.09%"
"02/16/2023","116.26","115.84","117.31","115.51","1.24M","-1.35%"
"02/15/2023","117.85","116.39","117.86","116.29","1.10M","0.53%"
"02/14/2023","117.23","117.33","117.81","116.56","600.47K","-0.43%"
"02/13/2023","117.74","116.58","117.78","116.58","444.73K","1.20%"
"02/10/2023","116.34","118.46","119.22","114.61","1.93M","-2.04%"
"02/09/2023","118.76","119.76","120.74","118.50","775.78K","0.11%"
"02/08/2023","118.63","120.69","120.96","118.52","1.01M","-1.96%"
"02/07/2023","121.00","119.34","121.95","119.34","1.26M","1.39%"
"02/06/2023","119.34","120.50","121.32","118.92","1.40M","-2.00%"
"02/03/2023","121.77","122.55","123.92","121.55","1.01M","-1.81%"
"02/02/2023","124.02","124.17","124.88","123.29","632.74K","0.55%"
"02/01/2023","123.34","122.13","123.82","121.35","1.43M","0.71%"
"01/31/2023","122.47","121.79","123.15","120.01","1.11M","0.55%"
"01/30/2023","121.80","123.42","124.21","119.46","898.27K","-2.09%"
"01/27/2023","124.40","125.26","126.44","124.27","780.23K","-1.56%"
"01/26/2023","126.37","125.52","126.81","125.14","789.78K","1.06%"
"01/25/2023","125.04","124.94","125.39","124.40","1.20M","-0.56%"
"01/24/2023","125.74","125.37","125.85","124.13","1.40M","0.53%"
"01/23/2023","125.08","124.07","125.56","123.85","546.88K","0.85%"
"01/20/2023","124.02","123.36","124.25","122.74","845.27K","0.88%"
"01/19/2023","122.94","123.82","124.18","122.72","715.29K","-1.22%"
"01/18/2023","124.46","125.50","126.00","124.12","688.53K","-0.42%"
"01/17/2023","124.98","124.26","125.83","124.26","827.37K","0.04%"
"01/13/2023","124.93","124.48","125.47","124.23","956.85K","-0.50%"
"01/12/2023","125.56","124.80","126.28","124.40","570.00K","0.56%"
"01/11/2023","124.86","124.15","124.94","123.85","1.21M","0.48%"
"01/10/2023","124.26","124.17","124.50","121.40","1.32M","-0.01%"
"01/09/2023","124.27","126.30","127.89","123.00","2.43M","-1.48%"
"01/06/2023","126.14","122.22","126.50","122.22","1.02M","3.62%"
"01/05/2023","121.73","122.42","122.79","121.68","1.13M","-0.97%"
"01/04/2023","122.92","122.39","124.23","122.01","929.16K","0.49%"
"01/03/2023","122.32","122.48","123.79","121.65","614.69K","-0.36%"
"12/30/2022","122.76","120.88","122.77","120.88","671.44K","0.61%"
"12/29/2022","122.01","120.91","122.42","120.51","373.45K","1.51%"
"12/28/2022","120.19","121.15","122.07","120.09","689.94K","-0.94%"
"12/27/2022","121.33","121.11","121.72","120.92","936.45K","-0.07%"
"12/23/2022","121.42","121.13","121.58","120.83","287.40K","-0.06%"
"12/22/2022","121.49","121.32","121.86","120.88","480.67K","-0.35%"
"12/21/2022","121.92","120.75","123.06","120.51","867.79K","1.09%"
"12/20/2022","120.60","120.51","120.96","119.63","963.80K","-0.18%"
"12/19/2022","120.82","121.62","122.10","120.43","863.95K","-0.77%"
"12/16/2022","121.76","122.02","122.88","121.47","1.88M","-1.00%"
"12/15/2022","122.99","123.00","123.93","122.41","1.48M","-1.25%"
